Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
236268,National authorities,42.224827,25.041204,Europe,Bulgaria,Plovdiv,Rakovski,Centroid Admin2,,05/02/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, duck,,4800,,4800,,,0,
237458,National authorities,-6.528522,107.479837,Asia,Indonesia,Jawa Barat,CAMPAKA,Exact,30/04/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,50,,,,,
237457,National authorities,-6.348654,108.311147,Asia,Indonesia,Jawa Barat,BOJONGSARI,Exact,30/04/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,50,,,,,
262810,FAO Field Officer,-0.322264,100.482213,Asia,Indonesia,Sumatera Barat,Tanjuang Alam,Exact,,19/04/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,19,,,,,
237460,National authorities,-0.31857,100.51916,Asia,Indonesia,Sumatera Barat,TANJUNG ALAM,Exact,19/04/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,19,,,,,
235994,National authorities,41.86,25.72,Europe,Bulgaria,Haskovo,Malevo village,Unknown,19/04/2018,23/04/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, duck,2000,,39,,,,0,
262809,FAO Field Officer,-0.834706,101.326769,Asia,Indonesia,Sumatera Barat,Kunangan Parit Rantang,Exact,,18/04/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,50,,,,,
238862,OIE,23.76209,120.468642,Asia,Taiwan (Province of China),Taiwan Sheng,Xiluo Township,Exact,17/04/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, chicken,25887,230,230,25657,,,,
237456,National authorities,-3.499584,102.892507,Asia,Indonesia,Bengkulu,LUBUK BELIMBING 1,Exact,04/11/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,1000,,,,,
262808,FAO Field Officer,-0.834706,101.326769,Asia,Indonesia,Sumatera Barat,Kunangan Parit Rantang,Exact,,04/09/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,600,,,,,
237459,National authorities,-0.837453,101.403452,Asia,Indonesia,Sumatera Barat,KUNA PARIT RANTANG,Exact,04/09/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,600,,,,,
235849,OIE,6.3776,1.3913,Africa,Togo,Maritime,Kpessi (Agbedrafo), Lacs,Exact,27/03/2018,18/04/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,5001,3629,3629,1372,0,,0
235377,OIE,27.44694444,83.41638889,Asia,India,Uttar Pradesh,Hardi Dali,Exact,23/03/2018,04/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,80,80,0,,,0,
235827,OIE,23.5672,89.1773,Asia,Bangladesh,Khulna,Jhenaidah Cadet College,Exact,21/03/2018,13/04/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,,385,385,,,,0,
235016,National authorities,37.3,127.633333,Asia,Republic of Korea,Kyonggi-do,YeoJu city,Centroid Locality,,17/03/2018,Confirmed,Influenza - Avian,H5 HPAI,domestic, chicken,30000,,,,,,0,
235126,OIE,26.833,89.1136,Asia,Bhutan,Samtse,Kalapani,Exact,16/03/2018,23/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,617,323,323,294,,,,
235208,FAO Field Officer,13.3,103.85,Asia,Cambodia,Siem Reap,Prey Kroch Village, Krobey Real, Siem Reap,Exact,15/03/2018,28/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,200,23,23,177,,
234636,OIE,27.02274,91.807151,Asia,Bhutan,Samdrupjongkhar,Samdrupjongkhar,Centroid Admin1,03/06/2018,13/03/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,60,36,36,24,,,,
237455,National authorities,-3.843129,119.872016,Asia,Indonesia,Sulawesi Selatan,BULO,Exact,26/02/2018,25/06/2018,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,182,,,,,
